,이름,주소,평점
112,뉴월드마트 화북점,"
제주특별자치도 제주시 일주동로 233 1~4층
(지번) 화북일동 1244-1
","
별점
3.0



6건
"
113,뉴월드마트 이도점,"
제주특별자치도 제주시 승천로 63
(지번) 아라이동 3001-5
","
별점
2.2



5건
"
114,일출M마트,"
제주특별자치도 제주시 연삼로 420 1층
(지번) 이도이동 1063-5
","
별점
0.0



0건
"
115,우리들마트,"
제주특별자치도 서귀포시 대정읍 일주서로 2641 1층
(지번) 대정읍 하모리 1293
","
별점
4.8



12건
"
116,진영마트 용담점,"
제주특별자치도 제주시 용담로 40
(지번) 용담2동 592-5
","
별점
3.7



9건
"
117,하나마트,"
제주특별자치도 제주시 고산동산5길 24
(지번) 이도이동 1059-20
","
별점
2.5



4건
"
118,365식자재마트,"
제주특별자치도 서귀포시 성산읍 고성오조로 18 1층
(지번) 성산읍 고성리 1001
","
별점
0.0



0건
"
119,Y식자재마트 제주삼화점,"
제주특별자치도 제주시 건주로 27 1층
(지번) 도련일동 1937-1
","
별점
2.4



10건
"
120,EK베이킹 식자재마트,"
제주특별자치도 제주시 1100로 3164 1층
(지번) 노형동 115
","
별점
4.7



14건
"
121,유드림식자재마트 표선점,"
제주특별자치도 서귀포시 표선면 표선중앙로90번길 13 1층
(지번) 표선면 표선리 648-3
","
별점
4.4



14건
"
122,반품마트,"
제주특별자치도 제주시 남광로 187 대유상가
(지번) 일도이동 113-8
","
별점
3.9



7건
"
123,탐나마트,"
제주특별자치도 제주시 신설로11길 47
(지번) 이도2동 1955-4
","
별점
4.3



4건
"
124,용마트 본점,"
제주특별자치도 제주시 인다10길 40 1층
(지번) 아라일동 6127-5
","
별점
3.5



6건
"
125,성산K마트,"
제주특별자치도 서귀포시 성산읍 성산중앙로 31
(지번) 성산읍 성산리 174-1
","
별점
3.8



5건
"
126,제원마트,"
제주특별자치도 제주시 신광로 52
(지번) 연동 262-4
","
별점
0.0



0건
"
127,중고타이어마트,"
제주특별자치도 제주시 오라로 61
(지번) 오라이동 2217-2
","
별점
3.0



2건
"
128,신제주마트,"
제주특별자치도 제주시 신대로18길 56
(지번) 연동 274-10
","
별점
0.0



0건
"
129,일출식자재마트,"
제주특별자치도 서귀포시 성산읍 섭지코지로25번길 77 1층
(지번) 성산읍 고성리 377
","
별점
5.0



2건
"
130,오라마트,"
제주특별자치도 제주시 연사3길 10
(지번) 오라이동 1479
","
별점
4.0



4건
"
131,스타월드마트 중문점,"
제주특별자치도 서귀포시 중문상로 74
(지번) 중문동 1678-1
","
별점
4.5



2건
"
132,일도공구마트,"
제주특별자치도 제주시 정든로 62
(지번) 이도2동 427
","
별점
0.0



0건
"
133,뉴월드마트로 동홍점,"
제주특별자치도 서귀포시 일주동로 8552
(지번) 동홍동 498-3
","
별점
1.8



5건
"
134,해가마트,"
제주특별자치도 서귀포시 안덕면 사계신항로17번길 14 서귀포오션캐슬 단지내상가 1층 101호
(지번) 안덕면 사계리 3596
","
별점
4.0



2건
"
135,라온마트,"
제주특별자치도 제주시 삼무로11길 16
(지번) 연동 290-51
","
별점
2.0



1건
"
136,플러스마트 2호점,"
제주특별자치도 서귀포시 동홍중앙로 2 1층
(지번) 동홍동 175-1
","
별점
4.7



3건
"
137,진일마트,"
제주특별자치도 제주시 아란9길 11
(지번) 아라일동 6083
","
별점
3.3



3건
"
138,이 전기자재마트,"
제주특별자치도 제주시 선반남2길 51
(지번) 화북일동 2154-3
","
별점
5.0



4건
"
139,그랜드마트,"
제주특별자치도 제주시 과원북4길 27
(지번) 노형동 728
","
별점
5.0



1건
"
140,그린마트 정존점,"
제주특별자치도 제주시 수덕9길 52
(지번) 노형동 2530-6
","
별점
3.7



3건
"
141,대기물류마트,"
제주특별자치도 제주시 번영로 518
(지번) 봉개동 1880
","
별점
5.0



1건
"
142,유드림마트,"
제주특별자치도 제주시 광평동로 63
(지번) 노형동 2880
","
별점
5.0



1건
"
143,내도마트,"
제주특별자치도 제주시 일주서로 7463
(지번) 내도동 363-6
","
별점
4.5



2건
"
144,거북이마트,"
제주특별자치도 제주시 아봉로 28 1층
(지번) 아라일동 6109-7
","
별점
4.5



6건
"
145,신산마트,"
제주특별자치도 서귀포시 성산읍 신산중앙로 5-16
(지번) 성산읍 신산리 520
","
별점
5.0



5건
"
146,유드림마트 오라점,"
제주특별자치도 제주시 사평6길 4 1층
(지번) 오라이동 1214-3
","
별점
2.7



13건
"
147,대흘마트,"
제주특별자치도 제주시 조천읍 중산간동로 641 1층
(지번) 조천읍 대흘리 2335-3
","
별점
3.0



2건
"
148,뉴그린마트,"
제주특별자치도 제주시 신대로7길 29-1 1층
(지번) 연동 310-38
","
별점
5.0



1건
"
149,H마트,"
제주특별자치도 제주시 일주동로 353
(지번) 삼양이동 2129-21
","
별점
5.0



1건
"
150,플러스마트 제주점,"
제주특별자치도 제주시 고마로 94
(지번) 일도2동 378-8
","
별점
4.0



5건
"
151,제이마트 하귀,"
제주특별자치도 제주시 애월읍 하귀9길 54
(지번) 애월읍 하귀1리 161-7
","
별점
4.7



6건
"
152,광양마트,"
제주특별자치도 제주시 중앙로 203
(지번) 이도일동 1736-1
","
별점
0.0



0건
"
